=== RESULTADOS DE BENCHMARK ===
Formato: [Algoritmo] [Archivo] -> Tiempo (ms) | Memoria (KB)
quick 1000_descendente_D7_c.txt -> 0.020000 ms | 3 KB
quick 10_aleatorio_D1_a.txt -> 0.000343 ms | 0 KB
quick 10_aleatorio_D1_b.txt -> 0.000334 ms | 0 KB
quick 10_aleatorio_D1_c.txt -> 0.000343 ms | 0 KB
quick 10_aleatorio_D7_a.txt -> 0.000351 ms | 0 KB
quick 10_aleatorio_D7_b.txt -> 0.000334 ms | 0 KB
quick 10_aleatorio_D7_c.txt -> 0.000342 ms | 0 KB
quick 10_ascendente_D1_a.txt -> 0.000270 ms | 0 KB
quick 10_ascendente_D1_b.txt -> 0.000252 ms | 0 KB
quick 10_ascendente_D1_c.txt -> 0.000270 ms | 0 KB
quick 10_ascendente_D7_a.txt -> 0.000262 ms | 0 KB
quick 10_ascendente_D7_b.txt -> 0.000253 ms | 0 KB
quick 10_ascendente_D7_c.txt -> 0.000244 ms | 0 KB
quick 10_descendente_D1_a.txt -> 0.000333 ms | 0 KB
quick 10_descendente_D1_b.txt -> 0.000324 ms | 0 KB
quick 10_descendente_D1_c.txt -> 0.000361 ms | 0 KB
quick 10_descendente_D7_a.txt -> 0.000271 ms | 0 KB
quick 10_descendente_D7_b.txt -> 0.000325 ms | 0 KB
quick 10_descendente_D7_c.txt -> 0.000298 ms | 0 KB

---- selection ----
selection 100000_aleatorio_D1_a.txt -> 7712.922422 ms | 390 KB
selection 100000_aleatorio_D1_b.txt -> 7496.882978 ms | 390 KB
selection 100000_aleatorio_D1_c.txt -> 7441.649918 ms | 390 KB
selection 100000_aleatorio_D7_a.txt -> 7942.919119 ms | 390 KB
selection 100000_aleatorio_D7_b.txt -> 7534.335896 ms | 390 KB
selection 100000_aleatorio_D7_c.txt -> 7426.462014 ms | 390 KB
selection 100000_ascendente_D1_a.txt -> 7516.060678 ms | 390 KB
selection 100000_ascendente_D1_b.txt -> 7773.779675 ms | 390 KB
selection 100000_ascendente_D1_c.txt -> 7618.040941 ms | 390 KB
selection 100000_ascendente_D7_a.txt -> 7461.543607 ms | 390 KB
selection 100000_ascendente_D7_b.txt -> 7447.179488 ms | 390 KB
selection 100000_ascendente_D7_c.txt -> 7706.417620 ms | 390 KB
selection 100000_descendente_D1_a.txt -> 8206.070020 ms | 390 KB
selection 100000_descendente_D1_b.txt -> 7821.368111 ms | 390 KB
selection 100000_descendente_D1_c.txt -> 7393.017263 ms | 390 KB
