strassen 16_dispersa_D0_a -> 0.646539 ms | 3 KB
strassen 16_dispersa_D0_b -> 0.640713 ms | 3 KB
strassen 16_dispersa_D0_c -> 0.729548 ms | 3 KB
strassen 16_dispersa_D10_a -> 0.65704 ms | 3 KB
strassen 16_dispersa_D10_b -> 0.722851 ms | 3 KB
strassen 16_dispersa_D10_c -> 0.644067 ms | 3 KB
strassen 256_densa_D0_a -> 1564.03 ms | 768 KB
strassen 256_densa_D0_b -> 1550.03 ms | 768 KB
strassen 256_densa_D0_c -> 1552.53 ms | 768 KB
strassen 256_densa_D10_a -> 1552.72 ms | 768 KB
strassen 256_densa_D10_b -> 1561.05 ms | 768 KB
strassen 256_densa_D10_c -> 1582.34 ms | 768 KB
strassen 256_diagonal_D0_a -> 1578.96 ms | 768 KB
strassen 256_diagonal_D0_b -> 1577.01 ms | 768 KB
strassen 256_diagonal_D0_c -> 1562.66 ms | 768 KB
strassen 256_diagonal_D10_a -> 1550.21 ms | 768 KB
strassen 256_diagonal_D10_b -> 1565.34 ms | 768 KB
strassen 256_diagonal_D10_c -> 1543.46 ms | 768 KB
strassen 256_dispersa_D0_a -> 1564.05 ms | 768 KB
strassen 256_dispersa_D0_b -> 1581.37 ms | 768 KB
strassen 256_dispersa_D0_c -> 1591.61 ms | 768 KB
strassen 256_dispersa_D10_a -> 1570.49 ms | 768 KB
strassen 256_dispersa_D10_b -> 1547.14 ms | 768 KB
strassen 256_dispersa_D10_c -> 1576.57 ms | 768 KB
strassen 64_densa_D0_a -> 32.5505 ms | 48 KB
strassen 64_densa_D0_b -> 32.6217 ms | 48 KB
strassen 64_densa_D0_c -> 31.2953 ms | 48 KB
strassen 64_densa_D10_a -> 32.5655 ms | 48 KB
strassen 64_densa_D10_b -> 33.064 ms | 48 KB
strassen 64_densa_D10_c -> 32.8907 ms | 48 KB
strassen 64_diagonal_D0_a -> 32.3304 ms | 48 KB
strassen 64_diagonal_D0_b -> 31.1158 ms | 48 KB
strassen 64_diagonal_D0_c -> 32.6011 ms | 48 KB
strassen 64_diagonal_D10_a -> 31.1777 ms | 48 KB
strassen 64_diagonal_D10_b -> 32.7548 ms | 48 KB
strassen 64_diagonal_D10_c -> 31.161 ms | 48 KB
strassen 64_dispersa_D0_a -> 32.9284 ms | 48 KB
strassen 64_dispersa_D0_b -> 31.1519 ms | 48 KB
strassen 64_dispersa_D0_c -> 32.7681 ms | 48 KB
strassen 64_dispersa_D10_a -> 31.2015 ms | 48 KB
strassen 64_dispersa_D10_b -> 34.7036 ms | 48 KB
strassen 64_dispersa_D10_c -> 31.1292 ms | 48 KB
